e, e_dot, e_int, stamp, 
5.985987121528668, 0.0, 1.1971974243057337, 171027000000, 
5.981897160100559, -0.013633204760363782, 1.1969247602105262, 187041000000, 
5.979391629679433, -0.021984972830783416, 1.1964850607539106, 187143000000, 
5.981742066360131, -0.000516979134757752, 1.1962020570760081, 187245000000, 
5.975078791806826, -0.01437612624202167, 1.1957474991897594, 187347000000, 
5.959070719365983, -0.0755711566471599, 1.1943927718355292, 187449000000, 
5.9377326877854, -0.12448701340475488, 1.1914588132638806, 187551000000, 
5.910557597452277, -0.16171040637902165, 1.1871574003069107, 187653000000, 
5.882069113178838, -0.1855452486885382, 1.1820239598944344, 187721000000, 
5.854792852010571, -0.1858824848056854, 1.1764946375094458, 187823000000, 
5.827303220611265, -0.18255297522524452, 1.170944345720045, 187925000000, 
5.802904726836463, -0.17296041724702782, 1.1656667199638866, 188027000000, 
5.775823329642806, -0.17159963656152874, 1.1604020851393688, 188129000000, 
5.746188081115086, -0.18905548573792194, 1.1549944091729571, 188231000000, 
5.7208874898545865, -0.1831194659607327, 1.1495265933741654, 188333000000, 
5.691901094399548, -0.18095662238512666, 1.1439317776912814, 188401000000, 
5.666005635864513, -0.18293951330024427, 1.138586281341243, 188469000000, 
5.64046675642526, -0.17144779324762696, 1.1332248991126217, 188571000000, 
5.616544900421696, -0.1648691181427253, 1.1282011528474314, 188673000000, 
5.5965746501672955, -0.14630702085988231, 1.1235724204676167, 188775000000, 
5.572376234803059, -0.14722888539545545, 1.11903305235947, 188877000000, 
5.548361206045056, -0.16071148040746644, 1.1144874727343606, 188979000000, 
5.523115834829966, -0.16420133324364392, 1.1095902183785387, 189081000000, 
5.49803994352563, -0.16773754173141717, 1.10463446562671, 189149000000, 
5.4722972807913575, -0.1693951801286945, 1.0995635372764634, 189251000000, 
5.448766999188289, -0.16424314779113658, 1.0946069482336853, 189353000000, 
5.423643615855055, -0.16217888312100767, 1.0896471930556468, 189455000000, 
5.396444118389991, -0.174409602660995, 1.0845903155622225, 189557000000, 
5.3694498688265515, -0.18064582342834554, 1.07930250687144, 189659000000, 
5.343504167224608, -0.17646650388461063, 1.0739598769627434, 189761000000, 
5.317223377921838, -0.17408830301571143, 1.0686784942648664, 189829000000, 
5.290623849468375, -0.17626772585410974, 1.0634234263076547, 189931000000, 
5.2621828072099195, -0.18346856903972864, 1.0580020023066754, 190033000000, 
5.235163762532346, -0.18486695645343035, 1.0525313612807095, 190135000000, 
5.206343268589977, -0.18613179539980726, 1.0469126558888162, 190237000000, 
5.177300215214561, -0.19287849105928365, 1.041253816422459, 190339000000, 
5.1489235954894, -0.19139891033525794, 1.0355044719529292, 190441000000, 
5.119430752629142, -0.19289820861806342, 1.0297103042222069, 190509000000, 
5.091069011465423, -0.1928486134132553, 1.0239615573055978, 190611000000, 
5.064057247699569, -0.1845783497652409, 1.0183038007862755, 190713000000, 
5.032098484720304, -0.19656842248373016, 1.0124816495923532, 190815000000, 
5.004848384692841, -0.1973628766890941, 1.0067336078075144, 190917000000, 
4.976126061169049, -0.1865747451708503, 1.0008715287054797, 191019000000, 
4.945539646329718, -0.19769579454374409, 0.9951009394794404, 191121000000, 
4.916705627726657, -0.1980681114746415, 0.989224755681695, 191189000000, 
4.88638957263414, -0.19716691231859151, 0.9832423231127009, 191291000000, 
4.857541056359934, -0.19721523788907605, 0.9773757504480488, 191393000000, 
4.827185714796655, -0.1973461927916187, 0.9714077562527154, 191495000000, 
4.796719696319857, -0.20273786680025552, 0.9654297644984297, 191563000000, 
4.7703519473361355, -0.18944589153506422, 0.9596171572301766, 191665000000, 
4.743483900927516, -0.17745265130780416, 0.9540370363055671, 191767000000, 
4.7148898524415745, -0.18487364964853667, 0.9485817133803484, 191869000000, 
4.684535230484644, -0.19649556814290628, 0.9428605989235824, 191971000000, 
4.6545437918801795, -0.20115353520465007, 0.9369312583204265, 192073000000, 
4.6265186072535025, -0.1933887441038055, 0.931039841974555, 192175000000, 
4.596778126732428, -0.19255221715917278, 0.9251893683910739, 192277000000, 
4.567183519131417, -0.1977836270736185, 0.9193653502078231, 192345000000, 
4.539232404892727, -0.1918190727990036, 0.9135462700504381, 192447000000, 
4.509780578679618, -0.19134313483932944, 0.9077464335135841, 192549000000, 
4.483308182638728, -0.18641407417999467, 0.9021547444140715, 192651000000, 
4.453891078928213, -0.18629833250468408, 0.896465322683104, 192753000000, 
4.4244995268005844, -0.19602885279381255, 0.8907799192245017, 192855000000, 
4.3951326455570365, -0.19586144457058788, 0.8849015500857222, 192957000000, 
4.366652844548175, -0.19282227417469913, 0.8790856677937197, 193059000000, 
4.337398525070835, -0.19244706828733804, 0.8732789343450698, 193127000000, 
4.309694863817998, -0.1898599357672559, 0.8675830822291338, 193229000000, 
