imu_ax, imu_ay, odom_vx, odom_w, enc_x, enc_y, enc_th, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, kf_th, stamp, 
-0.03324414729050378, 0.007481469083590882, 3.304488946810009e-07, -1.0332216208527847e-06, -1.2943417268331199, 4.053700905860568, -1.1943611626634767, -0.006648829458100757, -8.535673564282872e-14, 1.6522444734050045e-07, -5.166108104263924e-07, -1.2943417268331199, 4.053700905860568, -1.1943611626634767, 74844000000, 
-0.048693993246407496, 0.01748837926490394, 1.6489370027407267e-06, -1.1174498128938192e-06, -1.2943417416337653, 4.0537009383046705, -1.1943612290814716, -0.019675096653502477, 3.9106916298580707e-10, -0.00044607931341223035, -8.766807857427198e-07, -1.2943343149305946, 4.053682155081563, -1.194361219960549, 74934000000, 
-0.04021717699760408, 0.002313088569221391, 4.5877180944419334e-06, -1.0269921459603457e-06, -1.2943417376859698, 4.053700929363213, -1.1943613270575049, -0.02694800131102274, 1.2426109374736282e-09, -0.0011016819174357031, -1.1279216966417623e-06, -1.294320257571471, 4.053646592491687, -1.1943613198766219, 75034000000, 
-0.04219813298913446, 0.003733850665998677, 3.7949922046741054e-06, -9.341368340850911e-07, -1.2943417232693484, 4.053700890645672, -1.1943613929995243, -0.03253736748155402, 2.6290774205940384e-09, -0.0015997736395834067, -1.643405889147336e-06, -1.2943079577453613, 4.05361547615125, -1.1943614618795668, 75134000000, 
-0.05059638806312338, 0.02285945498445653, 2.999587127227312e-06, -8.02586006530598e-07, -1.294341718323746, 4.053700877720055, -1.194361497306073, -0.039254526256188964, 1.3824119286619267e-08, -0.002040867816383365, -6.773647551127087e-06, -1.2942952097795037, 4.0535832261645055, -1.194361933101871, 75234000000, 
-0.08446369224860537, -0.027208908201336455, 2.3647756768686866e-06, -9.013776352662468e-07, -1.2943417342679815, 4.053700915611584, -1.1943615914890298, -0.0564825461632692, -1.4602029630012336e-08, -0.002686531213514522, 5.435272650679518e-06, -1.2942735501979, 4.053528431185196, -1.1943618546614938, 75329000000, 
-0.0412381264806898, -0.02354619617412803, 4.064328841501494e-06, -9.157165195669656e-07, -1.2943417207882435, 4.053700882862577, -1.194361692945987, -0.05021492240045804, -3.251462196458724e-08, -0.0028814918399739124, 1.1283954205083437e-05, -1.29426592738978, 4.053509146706996, -1.194360993983662, 75424000000, 
-0.06626461164856683, 0.009424724101293153, 9.220186164548101e-07, -1.0768812626647646e-06, -1.2943417136701996, 4.053700863559065, -1.1943617982519659, -0.056077504677391005, 1.753165919992939e-09, -0.003178994067065322, -5.514844894351654e-07, -1.2942573918514233, 4.053487553383683, -1.1943605838078406, 75524000000, 
-0.028210291564010708, -0.026928242259895648, 1.6361981771711872e-06, -1.1464657498852552e-06, -1.2943417225996896, 4.053700884201119, -1.19436188888796, -0.044879061322495056, -3.583032975831885e-08, -0.002911275067489281, 1.2307435377179718e-05, -1.294265165906961, 4.053507219781786, -1.194359871530919, 75619000000, 
-0.08433736153702168, -0.034100147568097504, 4.05287032724474e-06, -9.414796731812458e-07, -1.2943417109311706, 4.053700854705153, -1.194361957585947, -0.05987961010469754, -6.141896237133642e-08, -0.0031564980057041305, 1.945794429787244e-05, -1.2942559553475301, 4.053483918194978, -1.1943582804394075, 75714000000, 
